uniprot_id,database,processed,has_go_terms,has_go_terms_pair
P02649,MoonDB,True,True,True
P78362,MoonDB,True,True,True
P13299,MoonProt3,True,True,True
P19174,MoonDB,True,True,True
Q9HD42,MoonDB,True,True,True
P19544,MoonProt3,True,True,True
O60341,MoonDB,True,True,True
Q96EB6,MoonProt3,True,True,True
P07900,MoonDB,True,True,True
P60953,MoonDB,True,True,True
Q00534,MoonDB,True,True,True
P19793,MoonDB,True,True,True
Q9Y6Q9,MoonDB,True,True,True
P03372,MoonDB,True,True,True
P68104,MoonProt3,True,True,True
P20338,MoonDB,True,True,True
P84022,MoonDB,True,True,True
P0A9Q7,MoonProt3,True,True,True
Q42525,MoonProt3,True,True,True
P27695,MoonProt3,True,True,True
P12004,MoonDB,True,True,True
P08238,MoonDB,True,True,True
P08237,MoonProt3,True,True,True
Q8WYB5,MoonDB,True,True,True
P10276,MoonDB,True,True,True
P08183,MoonProt3,True,True,True
P21980,MoonProt3,True,True,True
P00519,MoonDB,True,True,True
P60010,MoonDB,True,True,True
P09467,MoonProt3,True,True,True
P37231,MoonDB,True,True,True
Q96L73,MoonDB,True,True,True
E9Q401,MoonDB,True,True,True
P68187,MoonProt3,True,True,True
Q09472,MoonDB,True,True,True
P13569,MoonProt3,True,True,True
P15336,MoonProt3,True,True,True
O22793,Previous_Study,True,True,True
G8JZS6,Previous_Study,True,True,True
G1FNI6,Previous_Study,True,True,True
C0LGW6,Previous_Study,True,True,True
C0HLV2,Previous_Study,True,True,True
P16402,Previous_Study,True,True,True
A1B198,Previous_Study,True,True,True
P20827,Previous_Study,True,True,True
A2AR95,Previous_Study,True,True,True
P19835,Previous_Study,True,True,True
O75570,Previous_Study,True,True,True
P0AFX0,Previous_Study,True,True,True
P18291,Previous_Study,True,True,True
G5EEG7,Previous_Study,True,True,True
O15033,Previous_Study,True,True,True
O43704,Previous_Study,True,True,True
O60906,Previous_Study,True,True,True
P15260,Previous_Study,True,True,True
P00423,Previous_Study,True,False,True
O15264,Previous_Study,True,True,True
P11229,Previous_Study,True,True,True
P08393,Previous_Study,True,True,True
P10613,Previous_Study,True,True,True
P10398,Previous_Study,True,True,True
P0C8E7,Previous_Study,True,True,True
,Previous_Study,False,False,False
P0AAR3,Previous_Study,True,True,True
O33407,Previous_Study,True,True,True
O95881,Previous_Study,True,True,True
O14529,Previous_Study,True,True,True
O14842,Previous_Study,True,True,True
O60241,Previous_Study,True,True,True
P0A870,Previous_Study,True,True,True
O75897,Previous_Study,True,True,True
P0AFL3,Previous_Study,True,True,True
P0AER0,Previous_Study,True,True,True
O00338,Previous_Study,True,True,True
P12104,Previous_Study,True,True,True
P0C7R1,Previous_Study,True,True,True
P0C0T5,Previous_Study,True,True,True
O00585,Previous_Study,True,True,True
P13001,Previous_Study,True,True,True
P06612,Previous_Study,True,True,True
O95238,Previous_Study,True,True,True
O60242,Previous_Study,True,True,True
P00191,Previous_Study,True,True,True
O96020,Previous_Study,True,True,True
P12530,Previous_Study,True,True,True
P13721,Previous_Study,True,True,True
O94444,Previous_Study,True,True,True
P14324,Previous_Study,True,True,True
O95399,Previous_Study,True,True,True
P13635,Previous_Study,True,True,True
P14550,Previous_Study,True,True,True
O76054,Previous_Study,True,True,True
P12960,Previous_Study,True,True,True
F1LQ48,Previous_Study,True,True,True
P14099,Previous_Study,True,True,True
P11859,Previous_Study,True,True,True
P0AF36,Previous_Study,True,True,True
P07148,Previous_Study,True,True,True
O32504,Previous_Study,True,True,True
P09201,Previous_Study,True,True,True
P0AG86,Previous_Study,True,True,True
P06132,Previous_Study,True,True,True
O15389,Previous_Study,True,True,True
O24146,Previous_Study,True,True,True
O22822,Previous_Study,True,True,True
P01859,Previous_Study,True,True,True
D2Z028,Previous_Study,True,True,True
P07764,Previous_Study,True,True,True
P10645,Previous_Study,True,True,True
P11672,Previous_Study,True,True,True
O23512,Previous_Study,True,True,True
P16045,Previous_Study,True,True,True
O60880,Previous_Study,True,True,True
F8WQK8,Previous_Study,True,True,True
P20809,Previous_Study,True,True,True
P18956,Previous_Study,True,True,True
O50202,Previous_Study,True,True,True
L7NCQ3,Previous_Study,True,True,True
O14717,Previous_Study,True,True,True
O43613,Previous_Study,True,True,True
P21375,Previous_Study,True,True,True
A0A0K0MJN3,Previous_Study,True,True,True
O43291,Previous_Study,True,True,True
B2UP57,Previous_Study,True,True,True
O13877,Previous_Study,True,True,True
O43278,Previous_Study,True,True,True
P15248,Previous_Study,True,True,True
O14544,Previous_Study,True,True,True
O15305,Previous_Study,True,True,True
P20783,Previous_Study,True,True,True
P16330,Previous_Study,True,True,True
P20676,Previous_Study,True,True,True
O14792,Previous_Study,True,True,True
O81862,Previous_Study,True,True,True
O80467,Previous_Study,True,True,True
O15054,Previous_Study,True,True,True
O75717,Previous_Study,True,True,True
O43896,Previous_Study,True,True,True
O14960,Previous_Study,True,True,True
P18075,Previous_Study,True,True,True
O34002,Previous_Study,True,True,True
O33283,Previous_Study,True,True,True
O15198,Previous_Study,True,True,True
P18196,Previous_Study,True,True,True
P0DPB6,Previous_Study,True,True,True
O00222,Previous_Study,True,True,True
H2B3G5,Previous_Study,True,True,True
P19221,Previous_Study,True,True,True
A0AVT1,Previous_Study,True,True,True
P0AEY8,Previous_Study,True,True,True
P16662,Previous_Study,True,True,True
P0AE85,Previous_Study,True,True,True
P02753,Previous_Study,True,True,True
O64743,Previous_Study,True,True,True
O54288,Previous_Study,True,True,True
P0AC13,Previous_Study,True,True,True
P04397,Previous_Study,True,True,True
O29976,Previous_Study,True,True,True
P04819,Previous_Study,True,True,True
O54983,Previous_Study,True,True,True
P05031,Previous_Study,True,True,True
G4NAP4,Previous_Study,True,True,True
P05090,Previous_Study,True,True,True
A6NI73,Previous_Study,True,True,True
A6NIH7,Previous_Study,True,True,True
A5KE01,Previous_Study,True,True,True
P05219,Previous_Study,True,True,True
P06106,Previous_Study,True,True,True
I1WVY3,Previous_Study,True,True,True
O43614,Previous_Study,True,True,True
P01097,Previous_Study,True,True,True
P00803,Previous_Study,True,True,True
O75324,Previous_Study,True,True,True
O75795,Previous_Study,True,True,True
P11655,Previous_Study,True,True,True
O75888,Previous_Study,True,True,True
A0A166U5H3,Previous_Study,True,True,True
O76021,Previous_Study,True,True,True
P01563,Previous_Study,True,True,True
O64470,Previous_Study,True,True,True
A0A4P8DY91,Previous_Study,True,True,True
O94788,Previous_Study,True,True,True
P07492,Previous_Study,True,True,True
O95727,Previous_Study,True,True,True
A0FKN5,Previous_Study,True,True,True
O95970,Previous_Study,True,True,True
P00724,Previous_Study,True,True,True
P09758,Previous_Study,True,True,True
P06681,Previous_Study,True,True,True
O43396,Previous_Study,True,True,True
P08638,Previous_Study,True,True,True
P09056,Previous_Study,True,True,True
P13686,Previous_Study,True,True,True
B4XT64,Previous_Study,True,True,True
P08244,Previous_Study,True,True,True
P09914,Previous_Study,True,True,True
P0AA37,Previous_Study,True,True,True
P08171,Previous_Study,True,True,True
P08168,Previous_Study,True,True,True
P16233,Previous_Study,True,True,True
P20443,Previous_Study,True,True,True
P11880,Previous_Study,True,True,True
P0ACC1,Previous_Study,True,True,True
P0ADS2,Previous_Study,True,True,True
P06983,Previous_Study,True,True,True
P01298,Previous_Study,True,True,True
P09237,Previous_Study,True,True,True
O81770,Previous_Study,True,True,True
O94806,Previous_Study,True,True,True
P09104,Previous_Study,True,True,True
O94953,Previous_Study,True,True,True
O60826,Previous_Study,True,True,True
O35250,Previous_Study,True,True,True
P08318,Previous_Study,True,True,True
P0DPD7,Previous_Study,True,True,True
O15537,Previous_Study,True,True,True
P08902,Previous_Study,True,True,True
O95980,Previous_Study,True,True,True
O14526,Previous_Study,True,True,True
O76095,Previous_Study,True,True,True
P04591,Previous_Study,True,True,True
O75563,Previous_Study,True,True,True
O60609,Previous_Study,True,True,True
O02372,Previous_Study,True,True,True
P00346,Previous_Study,True,True,True
P01593,Previous_Study,True,True,True
P0ABI4,Previous_Study,True,True,True
O70394,Previous_Study,True,True,True
O08547,Previous_Study,True,True,True
P01721,Previous_Study,True,True,True
O70361,Previous_Study,True,True,True
P01709,Previous_Study,True,True,True
P0AAW9,Previous_Study,True,True,True
O96028,Previous_Study,True,True,True
O70201,Previous_Study,True,True,True
O75716,Previous_Study,True,True,True
P0A6L0,Previous_Study,True,True,True
O60678,Previous_Study,True,True,True
P0AFR2,Previous_Study,True,True,True
O75914,Previous_Study,True,True,True
O43586,Previous_Study,True,True,True
P08909,Previous_Study,True,True,True
O14939,Previous_Study,True,True,True
P12271,Previous_Study,True,True,True
O43508,Previous_Study,True,True,True
P17888,Previous_Study,True,True,True
P07327,Previous_Study,True,True,True
P17515,Previous_Study,True,True,True
P05129,Previous_Study,True,True,True
P13797,Previous_Study,True,True,True
P04279,Previous_Study,True,True,True
P16554,Previous_Study,True,True,True
P05187,Previous_Study,True,True,True
P06881,Previous_Study,True,True,True
P16297,Previous_Study,True,True,True
O15085,Previous_Study,True,True,True
P05696,Previous_Study,True,True,True
P06850,Previous_Study,True,True,True
P15202,Previous_Study,True,True,True
P06821,Previous_Study,True,True,True
P07102,Previous_Study,True,True,True
P00748,Previous_Study,True,True,True
