accession_code,go_id,category
P01588,GO:0045893,P
P01588,GO:0046579,P
P14079,GO:0030430,C
P14079,GO:0042025,C
P14079,GO:0071222,P
P14079,GO:0010629,P
P14079,GO:0043488,P
P13725,GO:0005576,C
P13725,GO:0005615,C
P13725,GO:0005125,F
P13725,GO:0008083,F
P13725,GO:0005147,F
P13725,GO:0008285,P
P13725,GO:0046888,P
P13725,GO:0038165,P
P13725,GO:0002675,P
P13725,GO:0008284,P
P13725,GO:0050729,P
P13725,GO:0032740,P
P13725,GO:0043410,P
P13725,GO:0033138,P
P13725,GO:0050731,P
P13725,GO:0051897,P
P13725,GO:0045944,P
P13725,GO:0042531,P
P13725,GO:1902036,P
P0ABE5,GO:0005886,C
P0ABE5,GO:0009055,F
P0ABE5,GO:0020037,F
P0ABE5,GO:0019430,P
Q13114,GO:0005829,C
Q13114,GO:0005768,C
Q13114,GO:0010008,C
Q13114,GO:0005739,C
Q13114,GO:0042802,F
Q13114,GO:0019903,F
Q13114,GO:0031996,F
Q13114,GO:0005164,F
Q13114,GO:0061630,F
Q13114,GO:0031625,F
Q13114,GO:0004842,F
Q13114,GO:0006915,P
Q13114,GO:0032088,P
Q13114,GO:0032481,P
Q13114,GO:0030162,P
Q13114,GO:0007165,P
Q13114,GO:0034142,P
Q13114,GO:0002224,P
Q13114,GO:0035666,P
Q13114,GO:0033209,P
P23381,GO:0005829,C
P23381,GO:0005634,C
P23381,GO:0032991,C
P23381,GO:0019210,F
P23381,GO:0019904,F
P23381,GO:0042803,F
P23381,GO:0019901,F
P23381,GO:0004830,F
P23381,GO:0008285,P
P23381,GO:0006469,P
P23381,GO:0010628,P
P23381,GO:0031334,P
P23381,GO:0045765,P
P23381,GO:0006412,P
P06454,GO:0005829,C
P06454,GO:0005654,C
P06454,GO:0005634,C
P06454,GO:0140297,F
P06454,GO:0042393,F
P06454,GO:0006351,P
P06454,GO:0043066,P
O95071,GO:0000785,C
O95071,GO:0005737,C
O95071,GO:0005829,C
O95071,GO:0005654,C
O95071,GO:0005634,C
O95071,GO:0048471,C
O95071,GO:0032991,C
O95071,GO:0043130,F
O95071,GO:0061630,F
O95071,GO:0034450,F
O95071,GO:0140455,P
O95071,GO:0071629,P
O95071,GO:0006974,P
O95071,GO:0140861,P
O95071,GO:0033696,P
O95071,GO:0071630,P
O95071,GO:0090263,P
O95071,GO:0010628,P
O95071,GO:0042307,P
O95071,GO:0050847,P
O95071,GO:0043161,P
O95071,GO:0141198,P
O95071,GO:0070979,P
O95071,GO:0035519,P
O95071,GO:0070936,P
O95071,GO:0000209,P
P04637,GO:0005813,C
P04637,GO:0000785,C
P04637,GO:0005737,C
P04637,GO:0005829,C
P04637,GO:0005739,C
P04637,GO:0016363,C
P04637,GO:0005730,C
P04637,GO:0005654,C
P04637,GO:0005634,C
P04637,GO:0016605,C
P04637,GO:0032991,C
P04637,GO:0005667,C
P04637,GO:0017053,C
P04637,GO:0071889,F
P04637,GO:0036310,F
P04637,GO:0003682,F
P04637,GO:0000987,F
P04637,GO:0005507,F
P04637,GO:0001046,F
P04637,GO:0097718,F
